Statistic,Quarter,Bedrooms,Property Type,Location,Unit,Value,Per_Person
RTB Average Monthly Rent Report,2008,2,All property types,"Artane, Dublin 5",Euro,1308.47,654.235
RTB Average Monthly Rent Report,2008,3,All property types,"Artane, Dublin 5",Euro,1348.84,449.6133333
RTB Average Monthly Rent Report,2008.25,2,All property types,"Artane, Dublin 5",Euro,1295.85,647.925
RTB Average Monthly Rent Report,2008.25,2,Apartment,"Artane, Dublin 5",Euro,1326.86,663.43
RTB Average Monthly Rent Report,2008.25,3,All property types,"Artane, Dublin 5",Euro,1351.72,450.5733333
RTB Average Monthly Rent Report,2008.25,3,Semi detached house,"Artane, Dublin 5",Euro,1384.85,461.6166667
RTB Average Monthly Rent Report,2008.5,2,All property types,"Artane, Dublin 5",Euro,1305.63,652.815
RTB Average Monthly Rent Report,2008.5,2,Apartment,"Artane, Dublin 5",Euro,1351.96,675.98
RTB Average Monthly Rent Report,2008.5,3,All property types,"Artane, Dublin 5",Euro,1334.44,444.8133333
RTB Average Monthly Rent Report,2008.5,3,Semi detached house,"Artane, Dublin 5",Euro,1374.18,458.06
RTB Average Monthly Rent Report,2008.5,3,Terrace house,"Artane, Dublin 5",Euro,1285.05,428.35
RTB Average Monthly Rent Report,2008.5,4,All property types,"Artane, Dublin 5",Euro,1473.13,368.2825
RTB Average Monthly Rent Report,2008.75,2,All property types,"Artane, Dublin 5",Euro,1300.07,650.035
RTB Average Monthly Rent Report,2008.75,2,Apartment,"Artane, Dublin 5",Euro,1356.42,678.21
RTB Average Monthly Rent Report,2008.75,3,All property types,"Artane, Dublin 5",Euro,1318.46,439.4866667
RTB Average Monthly Rent Report,2008.75,3,Semi detached house,"Artane, Dublin 5",Euro,1345.65,448.55
RTB Average Monthly Rent Report,2008.75,3,Terrace house,"Artane, Dublin 5",Euro,1275.05,425.0166667
RTB Average Monthly Rent Report,2008.75,4,All property types,"Artane, Dublin 5",Euro,1485.29,371.3225
RTB Average Monthly Rent Report,2009,2,All property types,"Artane, Dublin 5",Euro,1263.12,631.56
RTB Average Monthly Rent Report,2009,2,Apartment,"Artane, Dublin 5",Euro,1324.29,662.145
